#,,,
# The Tor Project,,,
#,,,
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2017-01-01&end=2019-12-31&country=lb,,,
#,,,
date,country,users,frac
12/20/17,lb,24,76
12/21/17,lb,20,76
12/22/17,lb,20,76
12/23/17,lb,22,75
12/24/17,lb,22,79
12/25/17,lb,22,76
12/26/17,lb,24,76
12/27/17,lb,26,76
12/28/17,lb,28,76
12/29/17,lb,21,76
12/30/17,lb,22,75
12/31/17,lb,24,74
1/1/18,lb,22,78
1/2/18,lb,21,76
1/3/18,lb,24,76
1/4/18,lb,27,68
1/5/18,lb,26,76
1/6/18,lb,21,77
1/7/18,lb,21,77
1/8/18,lb,22,76
1/9/18,lb,23,77
1/10/18,lb,22,72
1/11/18,lb,22,74
1/12/18,lb,24,74
1/13/18,lb,28,73
1/14/18,lb,26,74
1/15/18,lb,25,75
1/16/18,lb,28,73
1/17/18,lb,32,74
1/18/18,lb,36,73
1/19/18,lb,32,75
1/20/18,lb,27,75
1/21/18,lb,24,75
1/22/18,lb,30,76
1/23/18,lb,31,72
1/24/18,lb,33,73
1/25/18,lb,34,77
1/26/18,lb,32,72
1/27/18,lb,34,74
1/28/18,lb,31,71
1/29/18,lb,32,64
1/30/18,lb,32,76
1/31/18,lb,30,72
2/1/18,lb,30,72
2/2/18,lb,29,71
2/3/18,lb,30,75
2/4/18,lb,32,75
2/5/18,lb,31,75
2/6/18,lb,27,74
2/7/18,lb,30,74
2/8/18,lb,32,75
2/9/18,lb,28,75
2/10/18,lb,29,75
2/11/18,lb,30,75
2/12/18,lb,31,77
2/13/18,lb,35,76
2/14/18,lb,32,77
2/15/18,lb,35,75
2/16/18,lb,32,75
2/17/18,lb,31,76
2/18/18,lb,33,76
2/19/18,lb,32,76
2/20/18,lb,37,77
2/21/18,lb,36,77
2/22/18,lb,33,73
2/23/18,lb,33,76
2/24/18,lb,35,74
2/25/18,lb,36,76
2/26/18,lb,39,76
2/27/18,lb,36,76
2/28/18,lb,37,75
3/1/18,lb,37,74
3/2/18,lb,39,74
3/3/18,lb,34,75
3/4/18,lb,32,76
3/5/18,lb,32,76
3/6/18,lb,29,76
3/7/18,lb,34,76
3/8/18,lb,36,75
3/9/18,lb,38,71
3/10/18,lb,28,73
3/11/18,lb,29,71
3/12/18,lb,30,75
3/13/18,lb,27,76
3/14/18,lb,31,76
3/15/18,lb,28,73
3/16/18,lb,32,76
3/17/18,lb,38,68
3/18/18,lb,36,75
3/19/18,lb,32,66
3/20/18,lb,35,76
3/21/18,lb,36,74
3/22/18,lb,36,65
3/23/18,lb,38,72
3/24/18,lb,37,78
3/25/18,lb,36,76
3/26/18,lb,34,73
3/27/18,lb,30,78
3/28/18,lb,27,78
3/29/18,lb,32,75
3/30/18,lb,33,73
3/31/18,lb,33,73
4/1/18,lb,31,72
4/2/18,lb,33,73
4/3/18,lb,32,76
4/4/18,lb,29,74
4/5/18,lb,31,75
4/6/18,lb,32,76
4/7/18,lb,32,78
4/8/18,lb,38,78
4/9/18,lb,36,78
4/10/18,lb,29,73
4/11/18,lb,28,78
4/12/18,lb,33,79
4/13/18,lb,34,76
4/14/18,lb,32,78
4/15/18,lb,35,78
4/16/18,lb,34,74
4/17/18,lb,29,77
4/18/18,lb,31,76
4/19/18,lb,33,75
4/20/18,lb,35,73
4/21/18,lb,34,74
4/22/18,lb,34,71
4/23/18,lb,31,65
4/24/18,lb,34,71
4/25/18,lb,34,74
4/26/18,lb,30,74
4/27/18,lb,34,74
4/28/18,lb,42,73
4/29/18,lb,37,73
4/30/18,lb,39,73
5/1/18,lb,42,72
5/2/18,lb,39,73
5/3/18,lb,36,74
5/4/18,lb,38,74
5/5/18,lb,33,71
5/6/18,lb,42,69
5/7/18,lb,46,72
5/8/18,lb,40,70
5/9/18,lb,69,72
5/10/18,lb,52,76
5/11/18,lb,46,77
5/12/18,lb,34,76
5/13/18,lb,36,76
5/14/18,lb,42,76
5/15/18,lb,34,75
5/16/18,lb,34,76
5/17/18,lb,29,76
5/18/18,lb,22,76
5/19/18,lb,20,76
5/20/18,lb,23,76
5/21/18,lb,22,75
5/22/18,lb,25,71
5/23/18,lb,25,67
5/24/18,lb,34,75
5/25/18,lb,42,73
5/26/18,lb,50,68
5/27/18,lb,58,69
5/28/18,lb,65,69
5/29/18,lb,73,66
5/30/18,lb,73,62
5/31/18,lb,77,59
6/1/18,lb,72,63
6/2/18,lb,75,66
6/3/18,lb,76,63
6/4/18,lb,101,62
6/5/18,lb,116,60
6/6/18,lb,107,62
6/7/18,lb,113,62
6/8/18,lb,124,61
6/9/18,lb,100,57
6/10/18,lb,80,61
6/11/18,lb,95,57
6/12/18,lb,114,63
6/13/18,lb,91,64
6/14/18,lb,82,57
6/15/18,lb,71,64
6/16/18,lb,74,64
6/17/18,lb,76,67
6/18/18,lb,89,69
6/19/18,lb,90,73
6/20/18,lb,74,72
6/21/18,lb,66,74
6/22/18,lb,60,75
6/23/18,lb,56,72
6/24/18,lb,52,74
6/25/18,lb,57,74
6/26/18,lb,58,74
6/27/18,lb,57,72
6/28/18,lb,67,73
6/29/18,lb,62,73
6/30/18,lb,55,73
7/1/18,lb,51,69
7/2/18,lb,62,68
7/3/18,lb,61,66
7/4/18,lb,57,66
7/5/18,lb,52,61
7/6/18,lb,16,11
7/20/18,lb,23,100
7/21/18,lb,21,78
7/22/18,lb,27,78
7/23/18,lb,32,81
7/24/18,lb,34,81
7/25/18,lb,35,81
7/26/18,lb,40,83
7/27/18,lb,42,79
7/28/18,lb,33,78
7/29/18,lb,27,77
7/30/18,lb,29,78
7/31/18,lb,27,79
8/1/18,lb,28,82
8/2/18,lb,33,75
8/3/18,lb,31,80
8/4/18,lb,28,82
8/5/18,lb,22,79
8/6/18,lb,27,71
8/7/18,lb,40,75
8/8/18,lb,35,74
8/9/18,lb,36,74
8/10/18,lb,38,71
8/11/18,lb,28,75
8/12/18,lb,29,75
8/13/18,lb,25,72
8/14/18,lb,29,82
8/15/18,lb,27,82
8/16/18,lb,24,83
8/17/18,lb,27,82
8/18/18,lb,28,82
8/19/18,lb,32,82
8/20/18,lb,29,82
8/21/18,lb,27,82
8/22/18,lb,28,83
8/23/18,lb,30,82
8/24/18,lb,28,81
8/25/18,lb,30,81
8/26/18,lb,32,80
8/27/18,lb,34,80
8/28/18,lb,37,81
8/29/18,lb,38,81
8/30/18,lb,46,80
8/31/18,lb,41,80
9/1/18,lb,37,74
9/2/18,lb,43,71
9/3/18,lb,38,76
9/4/18,lb,40,77
9/5/18,lb,49,78
9/6/18,lb,49,80
9/7/18,lb,31,77
9/8/18,lb,24,60
9/9/18,lb,33,75
9/10/18,lb,40,69
9/11/18,lb,40,58
9/12/18,lb,36,56
9/13/18,lb,52,61
9/14/18,lb,45,66
9/15/18,lb,43,54
9/16/18,lb,57,47
9/17/18,lb,53,47
9/18/18,lb,52,47
9/19/18,lb,45,50
9/20/18,lb,42,65
9/21/18,lb,54,58
9/22/18,lb,42,66
9/23/18,lb,47,65
9/24/18,lb,57,66
9/25/18,lb,50,65
9/26/18,lb,45,70
9/27/18,lb,48,67
9/28/18,lb,47,69
9/29/18,lb,41,70
9/30/18,lb,29,50
10/1/18,lb,45,62
10/2/18,lb,48,70
10/3/18,lb,48,74
10/4/18,lb,39,74
10/5/18,lb,36,74
10/6/18,lb,35,75
10/7/18,lb,32,75
10/8/18,lb,36,75
10/9/18,lb,35,75
10/10/18,lb,44,74
10/11/18,lb,35,73
10/12/18,lb,40,72
10/13/18,lb,39,73
10/14/18,lb,36,72
10/15/18,lb,48,71
10/16/18,lb,57,65
10/17/18,lb,52,70
10/18/18,lb,59,60
10/19/18,lb,68,45
10/20/18,lb,69,48
10/21/18,lb,62,53
10/22/18,lb,48,68
10/23/18,lb,57,51
10/24/18,lb,37,68
10/25/18,lb,39,74
10/26/18,lb,39,73
10/27/18,lb,42,69
10/28/18,lb,37,71
10/29/18,lb,35,71
10/30/18,lb,37,69
10/31/18,lb,41,71
11/1/18,lb,46,65
11/2/18,lb,41,66
11/3/18,lb,35,67
11/4/18,lb,35,65
11/5/18,lb,38,67
11/6/18,lb,39,67
11/7/18,lb,42,68
11/8/18,lb,34,69
11/9/18,lb,37,68
11/10/18,lb,41,69
11/11/18,lb,39,70
11/12/18,lb,37,71
11/13/18,lb,46,70
11/14/18,lb,41,68
11/15/18,lb,36,69
11/16/18,lb,40,67
11/17/18,lb,36,69
11/18/18,lb,37,68
11/19/18,lb,35,67
11/20/18,lb,33,65
11/21/18,lb,29,63
11/22/18,lb,28,64
11/23/18,lb,25,62
11/24/18,lb,24,61
11/25/18,lb,26,61
11/26/18,lb,35,61
11/27/18,lb,37,59
11/28/18,lb,47,62
11/29/18,lb,42,63
11/30/18,lb,32,62
12/1/18,lb,35,58
12/2/18,lb,41,59
12/3/18,lb,44,61
12/4/18,lb,44,61
12/5/18,lb,46,56
12/6/18,lb,47,58
12/7/18,lb,42,59
12/8/18,lb,40,56
12/9/18,lb,36,56
12/10/18,lb,46,56
12/11/18,lb,56,55
12/12/18,lb,55,54
12/13/18,lb,43,57
12/14/18,lb,39,57
12/15/18,lb,39,55
12/16/18,lb,37,54
12/17/18,lb,40,47
12/18/18,lb,44,56
12/19/18,lb,41,58
12/20/18,lb,45,56
12/21/18,lb,43,54
12/22/18,lb,31,53
12/23/18,lb,29,55
12/24/18,lb,35,55
12/25/18,lb,31,56
12/26/18,lb,41,57
12/27/18,lb,49,56
12/28/18,lb,46,55
12/29/18,lb,40,54
12/30/18,lb,39,62
12/31/18,lb,30,63
1/1/19,lb,34,61
1/2/19,lb,36,65
1/3/19,lb,30,69
1/4/19,lb,32,73
1/5/19,lb,27,73
1/6/19,lb,29,69
1/7/19,lb,31,76
1/8/19,lb,29,76
1/9/19,lb,29,70
1/10/19,lb,36,78
1/11/19,lb,33,71
1/12/19,lb,28,65
1/13/19,lb,33,69
1/14/19,lb,35,66
1/15/19,lb,37,66
1/16/19,lb,35,69
1/17/19,lb,35,70
1/18/19,lb,36,68
1/19/19,lb,31,68
1/20/19,lb,41,64
1/21/19,lb,49,59
1/22/19,lb,45,66
1/23/19,lb,34,65
1/24/19,lb,29,61
1/25/19,lb,31,63
1/26/19,lb,33,67
1/27/19,lb,35,68
1/28/19,lb,31,70
1/29/19,lb,36,68
1/30/19,lb,31,61
1/31/19,lb,36,71
2/1/19,lb,40,68
2/2/19,lb,49,68
2/3/19,lb,34,97
2/4/19,lb,49,68
2/5/19,lb,42,68
2/6/19,lb,44,67
2/7/19,lb,44,67
2/8/19,lb,40,67
2/9/19,lb,35,65
2/10/19,lb,33,64
2/11/19,lb,30,65
2/12/19,lb,30,66
2/13/19,lb,24,68
2/14/19,lb,26,69
2/15/19,lb,33,70
2/16/19,lb,29,69
2/17/19,lb,33,66
2/18/19,lb,33,57
2/19/19,lb,45,69
2/20/19,lb,42,67
2/21/19,lb,28,68
2/22/19,lb,23,69
2/23/19,lb,19,69
2/24/19,lb,31,68
2/25/19,lb,26,69
2/26/19,lb,26,66
2/27/19,lb,24,67
2/28/19,lb,23,66
3/1/19,lb,40,65
3/2/19,lb,36,65
3/3/19,lb,31,67
3/4/19,lb,25,68
3/5/19,lb,27,71
3/6/19,lb,21,70
3/7/19,lb,22,69
3/8/19,lb,27,68
3/9/19,lb,31,60
3/10/19,lb,38,58
3/11/19,lb,34,60
3/12/19,lb,33,60
3/13/19,lb,34,58
3/14/19,lb,28,56
3/15/19,lb,27,66
3/16/19,lb,19,67
3/17/19,lb,19,66
3/18/19,lb,24,65
3/19/19,lb,24,65
3/20/19,lb,26,64
3/21/19,lb,26,63
3/22/19,lb,20,66
3/23/19,lb,22,65
3/24/19,lb,25,64
3/25/19,lb,26,64
3/26/19,lb,23,61
3/27/19,lb,28,64
3/28/19,lb,27,63
3/29/19,lb,23,63
3/30/19,lb,25,63
3/31/19,lb,30,63
4/1/19,lb,32,63
4/2/19,lb,35,63
4/3/19,lb,32,61
4/4/19,lb,35,59
4/5/19,lb,37,62
4/6/19,lb,33,59
4/7/19,lb,32,53
4/8/19,lb,39,60
4/9/19,lb,39,60
4/10/19,lb,38,62
4/11/19,lb,34,57
4/12/19,lb,31,59
4/13/19,lb,28,60
4/14/19,lb,31,58
4/15/19,lb,33,61
4/16/19,lb,29,57
4/17/19,lb,28,61
4/18/19,lb,28,61
4/19/19,lb,32,61
4/20/19,lb,29,61
4/21/19,lb,30,61
4/22/19,lb,30,59
4/23/19,lb,28,51
4/24/19,lb,29,60
4/25/19,lb,27,60
4/26/19,lb,22,55
4/27/19,lb,22,49
4/28/19,lb,27,57
4/29/19,lb,36,55
4/30/19,lb,37,58
5/1/19,lb,37,55
5/2/19,lb,36,52
5/3/19,lb,30,49
5/4/19,lb,34,56
5/5/19,lb,30,60
5/6/19,lb,29,61
5/7/19,lb,26,56
5/8/19,lb,27,45
5/9/19,lb,30,51
5/10/19,lb,23,51
5/11/19,lb,26,52
5/12/19,lb,24,51
5/13/19,lb,22,53
5/14/19,lb,35,58
5/15/19,lb,35,54
5/16/19,lb,31,58
5/17/19,lb,31,59
5/18/19,lb,31,58
5/19/19,lb,30,59
5/20/19,lb,41,59
5/21/19,lb,47,56
5/22/19,lb,47,57
5/23/19,lb,37,57
5/24/19,lb,34,58
5/25/19,lb,34,59
5/26/19,lb,39,58
5/27/19,lb,34,55
5/28/19,lb,29,49
5/29/19,lb,30,59
5/30/19,lb,28,60
5/31/19,lb,34,54
6/1/19,lb,29,54
6/2/19,lb,28,55
6/3/19,lb,27,64
6/4/19,lb,26,66
6/5/19,lb,27,65
6/6/19,lb,31,64
6/7/19,lb,28,62
6/8/19,lb,24,63
6/9/19,lb,27,62
6/10/19,lb,28,61
6/11/19,lb,23,61
6/12/19,lb,24,61
6/13/19,lb,25,61
6/14/19,lb,23,61
6/15/19,lb,20,60
6/16/19,lb,28,59
6/17/19,lb,33,64
6/18/19,lb,28,64
6/19/19,lb,30,65
6/20/19,lb,36,66
6/21/19,lb,34,56
6/22/19,lb,28,61
6/23/19,lb,29,60
6/24/19,lb,29,68
6/25/19,lb,35,68
6/26/19,lb,38,65
6/27/19,lb,34,59
6/28/19,lb,26,62
6/29/19,lb,30,63
6/30/19,lb,34,59
7/1/19,lb,27,53
7/2/19,lb,31,61
7/3/19,lb,32,67
7/4/19,lb,35,65
7/5/19,lb,28,66
7/6/19,lb,21,64
7/7/19,lb,26,69
7/8/19,lb,27,68
7/9/19,lb,29,68
7/10/19,lb,65,70
7/11/19,lb,100,69
7/12/19,lb,43,68
7/13/19,lb,30,68
7/14/19,lb,37,68
7/15/19,lb,35,69
7/16/19,lb,31,69
7/17/19,lb,27,70
7/18/19,lb,27,67
7/19/19,lb,21,68
7/20/19,lb,24,69
7/21/19,lb,25,71
7/22/19,lb,26,70
7/23/19,lb,29,62
7/24/19,lb,28,75
7/25/19,lb,23,76
7/26/19,lb,24,71
7/27/19,lb,23,62
7/28/19,lb,21,75
7/29/19,lb,23,76
7/30/19,lb,24,73
7/31/19,lb,24,74
8/1/19,lb,30,74
8/2/19,lb,40,75
8/3/19,lb,29,78
8/4/19,lb,23,79
8/5/19,lb,21,77
8/6/19,lb,24,79
8/7/19,lb,25,78
8/8/19,lb,27,79
8/9/19,lb,19,79
8/10/19,lb,14,77
8/11/19,lb,15,78
8/12/19,lb,16,79
8/13/19,lb,18,79
8/14/19,lb,23,78
8/15/19,lb,22,77
8/16/19,lb,18,78
8/17/19,lb,14,78
8/18/19,lb,18,78
8/19/19,lb,25,77
8/20/19,lb,30,77
8/21/19,lb,30,78
8/22/19,lb,25,77
8/23/19,lb,20,78
8/24/19,lb,23,79
