#,,,
# The Tor Project,,,
#,,,
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2017-01-01&end=2019-12-31&country=eg,,,
#,,,
date,country,users,frac
4/12/18,eg,735,79
4/13/18,eg,684,76
4/14/18,eg,708,78
4/15/18,eg,733,78
4/16/18,eg,740,74
4/17/18,eg,698,77
4/18/18,eg,713,76
4/19/18,eg,720,75
4/20/18,eg,683,73
4/21/18,eg,700,74
4/22/18,eg,714,71
4/23/18,eg,723,65
4/24/18,eg,702,71
4/25/18,eg,677,74
4/26/18,eg,670,74
4/27/18,eg,641,74
4/28/18,eg,658,73
4/29/18,eg,688,73
4/30/18,eg,690,73
5/1/18,eg,618,72
5/2/18,eg,644,73
5/3/18,eg,644,74
5/4/18,eg,606,74
5/5/18,eg,617,71
5/6/18,eg,709,69
5/7/18,eg,703,72
5/8/18,eg,685,70
5/9/18,eg,851,72
5/10/18,eg,785,76
5/11/18,eg,656,77
5/12/18,eg,657,76
5/13/18,eg,716,76
5/14/18,eg,750,76
5/15/18,eg,678,75
5/16/18,eg,623,76
5/17/18,eg,578,76
5/18/18,eg,555,76
5/19/18,eg,568,76
5/20/18,eg,613,76
5/21/18,eg,627,75
5/22/18,eg,635,71
5/23/18,eg,662,67
5/24/18,eg,835,75
5/25/18,eg,1098,73
5/26/18,eg,1440,68
5/27/18,eg,2006,69
5/28/18,eg,2381,69
5/29/18,eg,2633,66
5/30/18,eg,2746,62
5/31/18,eg,2990,59
6/1/18,eg,2549,63
6/2/18,eg,3100,66
6/3/18,eg,3289,63
6/4/18,eg,3627,62
6/5/18,eg,4371,60
6/6/18,eg,4602,62
6/7/18,eg,4913,62
6/8/18,eg,5427,61
6/9/18,eg,5100,57
6/10/18,eg,5686,61
6/11/18,eg,4610,57
6/12/18,eg,5593,63
6/13/18,eg,5079,64
6/14/18,eg,4134,57
6/15/18,eg,4411,64
6/16/18,eg,3950,64
6/17/18,eg,4098,67
6/18/18,eg,3995,69
6/19/18,eg,4108,73
6/20/18,eg,3739,72
6/21/18,eg,3588,74
6/22/18,eg,3255,75
6/23/18,eg,3458,72
6/24/18,eg,3521,74
6/25/18,eg,3403,74
6/26/18,eg,3334,74
6/27/18,eg,3236,72
6/28/18,eg,3109,73
6/29/18,eg,2796,73
6/30/18,eg,2860,73
7/1/18,eg,2837,69
7/2/18,eg,3002,68
7/3/18,eg,3185,66
7/4/18,eg,3016,66
7/5/18,eg,2893,61
7/6/18,eg,1275,11
7/20/18,eg,1011,100
7/21/18,eg,1364,78
7/22/18,eg,1470,78
7/23/18,eg,1451,81
7/24/18,eg,1395,81
7/25/18,eg,1354,81
7/26/18,eg,1273,83
7/27/18,eg,1264,79
7/28/18,eg,1348,78
7/29/18,eg,1419,77
7/30/18,eg,1409,78
7/31/18,eg,1347,79
8/1/18,eg,1118,82
8/2/18,eg,1192,75
8/3/18,eg,1085,80
8/4/18,eg,1115,82
8/5/18,eg,1208,79
8/6/18,eg,1300,71
8/7/18,eg,1280,75
8/8/18,eg,1291,74
8/9/18,eg,1226,74
8/10/18,eg,1117,71
8/11/18,eg,1117,75
8/12/18,eg,1215,75
8/13/18,eg,1199,72
8/14/18,eg,1096,82
8/15/18,eg,1097,82
8/16/18,eg,1064,83
8/17/18,eg,962,82
8/18/18,eg,1021,82
8/19/18,eg,1050,82
8/20/18,eg,976,82
8/21/18,eg,892,82
8/22/18,eg,876,83
8/23/18,eg,912,82
8/24/18,eg,918,81
8/25/18,eg,999,81
8/26/18,eg,1030,80
8/27/18,eg,1040,80
8/28/18,eg,1033,81
8/29/18,eg,990,81
8/30/18,eg,973,80
8/31/18,eg,877,80
9/1/18,eg,807,74
9/2/18,eg,983,71
9/3/18,eg,1035,76
9/4/18,eg,1001,77
9/5/18,eg,958,78
9/6/18,eg,947,80
